title,price,link
"Knight Armor Silver Ring/ Modern Knight Armor/ Free Joint Silver Ring/ Silver Armor Ring/ Modern knight Gear#I ---NON CONFORMIST","1,326.95","https://www.etsy.com/sg-en/listing/1565854212/knight-armor-silver-ring-modern-knight?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALTa086d903151bdb1129d7e0d86b4bcd84a40f3cd4&click_sum=d935220a&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010348-1-5&sr_prefetch=1&pf_from=search&cns=1"
"La Conejita, Bunny Ring | Sterling 925 Silver Ring | Handmade Silver Ring","235.36","https://www.etsy.com/sg-en/listing/1577484349/la-conejita-bunny-ring-sterling-925?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT99d851fb84323be1c964300a369f9b02f138ecde&click_sum=492b3f15&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010348-1-6&sr_prefetch=1&pf_from=search"
"Red Big Oval Yemeni Aqeeq Silver Ring, Silver Handmade Jewelry, 925 Sterling Silver, For Men, Red Yemeni Aqeeq - Agate","230.67","https://www.etsy.com/sg-en/listing/962227501/red-big-oval-yemeni-aqeeq-silver-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALTc30f178652ecf0144a2a7c76c37d7d9d3ca02b30&click_sum=bdc9b5ef&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-5&sr_prefetch=1&pf_from=search&frs=1"
"Abstract Jewelry-Chunky Silver Ring, Organic Liquid Metal Wavy Abstract, Contemporary Statement Jewelry","24.54","https://www.etsy.com/sg-en/listing/4489372704/abstract-jewelry-chunky-silver-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT525e6221cbacd7ee9acc85b48faabda14281e3eb&click_sum=0d79c316&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-6&sr_prefetch=1&pf_from=search&pro=1&frs=1&bes=1"
"Handmade Sterling Silver Dome Ring Set: Stackable Band Rings","15.84","https://www.etsy.com/sg-en/listing/4405957596/handmade-sterling-silver-dome-ring-set?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT6a9ac26a503e2627b1ad0f1b50807a468a76ecc7&click_sum=7795ae95&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-9&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT6a9ac26a503e2627b1ad0f1b50807a468a76ecc7"
"Handmade 925 Silver Wrap Ring | Minimalist Adjustable Band | Everyday Silver Jewelry Gift,","13.78","https://www.etsy.com/sg-en/listing/4401010940/handmade-925-silver-wrap-ring-minimalist?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT78d4867f00e45e82b8d4344da45b95d48b8740c1&click_sum=a9610625&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-10&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT78d4867f00e45e82b8d4344da45b95d48b8740c1"
"Sun Engraved Silver Ring, Handmade Sterling Silver Sunburst Ring, Minimalist Unisex Silver Band, Boho Statement Ring, Gift for Him Her","22.48","https://www.etsy.com/sg-en/listing/4453033853/sun-engraved-silver-ring-handmade?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT40c9f58b37810584f24a4ed96b90a35daf93a9a3&click_sum=750f5d4d&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-11&sr_prefetch=1&pf_from=search&pro=1&frs=1&cns=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT40c9f58b37810584f24a4ed96b90a35daf93a9a3"
"925 Sterling Silver Plain Band Ring - Unisex Wedding Anniversary","14.51","https://www.etsy.com/sg-en/listing/4459531668/925-sterling-silver-plain-band-ring?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTbfaf7a27227e71b3c19a78722fc461a4272da1d2&click_sum=95528d6b&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-12&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTbfaf7a27227e71b3c19a78722fc461a4272da1d2"
"Sterling Silver Bluebell Enamel Open Ring","39.14","https://www.etsy.com/sg-en/listing/4473876871/sterling-silver-bluebell-enamel-open?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT2f056a84f1603322c1200bd8520b574bd331594c&click_sum=a66eca28&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-13&sr_prefetch=1&pf_from=search&pop=1&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT2f056a84f1603322c1200bd8520b574bd331594c"
"Punk Gothic Cross Ring Sterling Silver, Vintage Flower Band, Unisex Ring, Alternative Jewelry, Couple Gift","21.44","https://www.etsy.com/sg-en/listing/4494383302/punk-gothic-cross-ring-sterling-silver?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT2b6852eaba5b8ed2b7b69602d214fceb8cd968f1&click_sum=7c614f12&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-14&sr_prefetch=1&pf_from=search&pro=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT2b6852eaba5b8ed2b7b69602d214fceb8cd968f1"
"Faceted Argentium Silver Ring: Recycled Ethical Wedding Band","283.03","https://www.etsy.com/sg-en/listing/465303191/faceted-argentium-silver-ring-recycled?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALTeb8a96a16f49e668d14a43774556b443f43f96bf&click_sum=972e3e3c&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-7&sr_prefetch=1&pf_from=search&frs=1&etp=1"
"925 Silver Aquamarine Rectangle Ring · March Birthstone Silver Ring For Women","120.85","https://www.etsy.com/sg-en/listing/802882640/925-silver-aquamarine-rectangle-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALTfeea70be06a7c62b292802eb830f589072385b63&click_sum=bdc5d1d6&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-8&sr_prefetch=1&pf_from=search&pro=1"
"Vintage Inspired Emerald Green CZ Ring in Sterling Silver, Marquise Ring, Delicate Emerald Ring, Size US 5 - 8","35.22","https://www.etsy.com/sg-en/listing/1016908228/vintage-inspired-emerald-green-cz-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT96eca09d802e39a461c3fbcaa6f6c758623aabcc&click_sum=a23e6676&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-9&sr_prefetch=1&pf_from=search&bes=1&sts=1"
"Knot Weaved Layered Thumb Ring,Dainty Dot Ring,Valentines Day, Mothers Day Gifts For Her, Chunky Ring, Boho Ring For Women, Adjustable Ring","36.19","https://www.etsy.com/sg-en/listing/1863851197/knot-weaved-layered-thumb-ringdainty-dot?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT938d1eb95d6ab872c0da3a630830396a6dc30433&click_sum=aabfb390&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-10&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1"
"Plain Wide Band Ring-925 Sterling Silver Dome Statement Ring-9MM Wide Band Ring-Silver Band Ring-Handmade silver band-Gift For Her","13.92","https://www.etsy.com/sg-en/listing/4333497559/plain-wide-band-ring-925-sterling-silver?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT0bb906865baaf36146c5289d2e3619202fac8b9a&click_sum=94c85cbf&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-15&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT0bb906865baaf36146c5289d2e3619202fac8b9a"
"Punk-style open ring,Silver and gold vintage ring,925 Sterling Silver Open Ring,Adjustable unisex ring,Free shipping for 2 items.","21.18","https://www.etsy.com/sg-en/listing/1891475437/punk-style-open-ringsilver-and-gold?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTad5b24257d93a65b6603630f6c4d45177778de9c&click_sum=b9651836&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-16&sr_prefetch=1&pf_from=search&pro=1&frs=1&bes=1&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTad5b24257d93a65b6603630f6c4d45177778de9c"
"Vintage Filigree Flower Ring in Surgical Steel, Intricate Silver Floral Band","25.47","https://www.etsy.com/sg-en/listing/4487989499/vintage-filigree-flower-ring-in-surgical?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTee2df56fbaf29eedd19c30f9bb4ab3f98fc6b43e&click_sum=e052f56c&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-17&sr_prefetch=1&pf_from=search&frs=1&cns=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTee2df56fbaf29eedd19c30f9bb4ab3f98fc6b43e"
"Handmade Sterling Silver Stacking Ring Set; Boho Minimalist Rings,","18.92","https://www.etsy.com/sg-en/listing/4479487980/handmade-sterling-silver-stacking-ring?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT1dcef087115629aea4c29632788ea994af272389&click_sum=598ecadb&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-18&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT1dcef087115629aea4c29632788ea994af272389"
"Sterling Silver Floral Band Ring, Dainty Nature Inspired Jewelry","16.68","https://www.etsy.com/sg-en/listing/4476817908/sterling-silver-floral-band-ring-dainty?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTa5ed2ccb477e3d19d9457fa9a519523b559c4b6e&click_sum=51548597&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-19&sr_prefetch=1&pf_from=search&pro=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTa5ed2ccb477e3d19d9457fa9a519523b559c4b6e"
"Duo Birthstone Dome Ring by Caitlyn Minimalist • Chunky Silver Gemstone Ring • Custom Toi et Moi Ring • Personalized Gift for Her • RM211","65.28","https://www.etsy.com/sg-en/listing/4482613425/duo-birthstone-dome-ring-by-caitlyn?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT5e375ce53e8b686616296bd98a33ff8f6ba457d4&click_sum=e4bb7103&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-20&sr_prefetch=1&pf_from=search&pop=1&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT5e375ce53e8b686616296bd98a33ff8f6ba457d4"
"Solomon Ring, Solomon Seal, Jewish Jewelry, Seal of Solomon Ring, Jewish Ring, Custom Sterling Silver Ring, Protective Jewish Heritage Ring","50.76","https://www.etsy.com/sg-en/listing/1824874713/solomon-ring-solomon-seal-jewish-jewelry?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT553868da42180c2d3874b939597c4d54efe56f41&click_sum=1bdbfa15&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-11&sr_prefetch=1&pf_from=search&pro=1"
"Sakura Ring 925 Sterling Silver Ring Adjustable","42.66","https://www.etsy.com/sg-en/listing/4422814456/sakura-ring-valentines-day-gift-925?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT522ba5bde33e46f9861c65cd52fa21100da94421&click_sum=3e24ee8a&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-12&sr_prefetch=1&pf_from=search&pro=1&pop=1"
"Handmade Hammered Sterling Silver Ring | Blue Sapphire Minimalist Band","36.27","https://www.etsy.com/sg-en/listing/4444704245/hammered-sterling-silver-ring-with-blue?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALTeb12d1d4dd2c10a313a8c977cd17e0772e756b6a&click_sum=2d36d0cd&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-13&sr_prefetch=1&pf_from=search&pro=1&cns=1"
"2118-Handmade Sterling Silver Pattern Ring/ 18K Gold Vermeil (2.8mm)","29.01","https://www.etsy.com/sg-en/listing/800090750/2118-handmade-sterling-silver-pattern?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT47c6959f3ef129a7096c2fba069ab9429688e145&click_sum=914f8ec3&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-21&sr_prefetch=1&pf_from=search&pro=1&pop=1&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT47c6959f3ef129a7096c2fba069ab9429688e145"
"Sterling Silver Karma Circle Ring: Minimalist Boho Jewelry","15.14","https://www.etsy.com/sg-en/listing/4349978177/sterling-silver-karma-circle-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT998908e6d8c343f2e2529728fcc85d34997bbced&click_sum=ae94938b&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-14&sr_prefetch=1&pf_from=search&pro=1&frs=1"
